file,sheet,column,header_rows_1_to_8,numeric_cells,first_numeric_row,first_numeric_value,last_numeric_row,last_numeric_value,disposition
2025-area-population-density.xls,1.15.,C,"r3:Territory, thsd. sq. km1) | r5:86.6 | r7:2.1",101,5,86.6,133,1.6,not_adopted_pending_row_and_geography_audit
2025-area-population-density.xls,1.15.,D,"r3:Population, thsd. person | r4:based on the population census 20192) | r5:9951.4 | r7:2330.4",100,5,9951.4,133,135.5,not_adopted_pending_row_and_geography_audit
2025-area-population-density.xls,1.15.,E,r4:as of 01.01.2026 | r5:10262.4 | r7:2356.2,101,5,10262.4,133,140.9,not_adopted_pending_row_and_geography_audit
2025-area-population-density.xls,1.15.,F,"r3:Population density for 01.01.2026 (per 1 sq. km1), person) | r5:118.50346420323326 | r7:1121.9999999999998",101,5,118.50346420323326,133,88.0625,not_adopted_pending_row_and_geography_audit
2025-administrative-division.xls,1.16.,C,r4:Districts | r5:64 | r7:-,78,5,64,133,1,not_adopted_pending_row_and_geography_audit
2025-administrative-division.xls,1.16.,D,r4:Urban districts | r5:12 | r7:12,14,5,12,20,1,not_adopted_pending_row_and_geography_audit
2025-administrative-division.xls,1.16.,E,r4:Cities | r5:79 | r7:1,87,5,79,133,1,not_adopted_pending_row_and_geography_audit
2025-administrative-division.xls,1.16.,F,r4:Urban adminis-trative districts | r5:68 | r7:-,77,5,68,133,1,not_adopted_pending_row_and_geography_audit
2025-administrative-division.xls,1.16.,G,r4:Settlements | r5:263 | r7:59,77,5,263,133,2,not_adopted_pending_row_and_geography_audit
2025-administrative-division.xls,1.16.,H,r4:Settlements administrative districts | r5:191 | r7:48,74,5,191,133,1,not_adopted_pending_row_and_geography_audit
2025-administrative-division.xls,1.16.,I,r4:Rural settle-ments | r5:4244 | r7:-,83,5,4244,133,48,not_adopted_pending_row_and_geography_audit
2025-administrative-division.xls,1.16.,J,r4:Rural adminis-trative districts | r5:1724 | r7:-,83,5,1724,133,18,not_adopted_pending_row_and_geography_audit
2025-administrative-division.xls,1.16.,K,r4:Regional adminis-trative territorail districts | r5:40 | r7:21,25,5,40,129,1,not_adopted_pending_row_and_geography_audit
2026-resident-population-by-area.xls,1.17.,C,r5:1979 | r7:6026.5,271,5,1979,392,49,not_adopted_pending_row_and_geography_audit
2026-resident-population-by-area.xls,1.17.,D,r5:1989 | r7:7021.2,273,5,1989,392,60.8,not_adopted_pending_row_and_geography_audit
2026-resident-population-by-area.xls,1.17.,E,r5:1999 | r7:7953.4,275,5,1999,392,73,not_adopted_pending_row_and_geography_audit
2026-resident-population-by-area.xls,1.17.,F,r5:2009 | r7:8922.4,281,5,2009,392,81.10000000000001,not_adopted_pending_row_and_geography_audit
2026-resident-population-by-area.xls,1.17.,G,r5:20191) | r7:9951.4,282,7,9951.4,392,91.5,not_adopted_pending_row_and_geography_audit
2026-population-sex-settlement.xls,1.19.,C,r5:Total | r7:10262.4,425,7,10262.4,474,0.3,adopted_astara_city_row_325_only_remaining_rows_unassessed
2026-population-sex-settlement.xls,1.19.,D,r5:including | r6:men | r7:5108.2,425,7,5108.2,474,0.2,adopted_astara_city_row_325_only_remaining_rows_unassessed
2026-population-sex-settlement.xls,1.19.,E,r6:women | r7:5154.2,425,7,5154.2,474,0.09999999999999998,adopted_astara_city_row_325_only_remaining_rows_unassessed
2026-population-sex-settlement.xls,1.19.,F,r5:Urban population | r7:5574.2,425,7,5574.2,474,0.3,not_adopted_pending_row_and_geography_audit
2026-population-sex-settlement.xls,1.19.,G,r5:including | r6:men | r7:2741.2,425,7,2741.2,474,0.2,not_adopted_pending_row_and_geography_audit
2026-population-sex-settlement.xls,1.19.,H,r6:women | r7:2833,425,7,2833,474,0.09999999999999998,not_adopted_pending_row_and_geography_audit
2026-population-sex-settlement.xls,1.19.,I,r5:Rural population | r7:4688.2,83,7,4688.2,471,96.2,not_adopted_pending_row_and_geography_audit
2026-population-sex-settlement.xls,1.19.,J,r5:including | r6:men | r7:2367,83,7,2367,471,48.6,not_adopted_pending_row_and_geography_audit
2026-population-sex-settlement.xls,1.19.,K,r6:women | r7:2321.2,83,7,2321.2,471,47.6,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (Total population),C,r4:Population size - total | r7:9974051,100,7,9974051,135,135811,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (Total population),D,r4:i n c l u d i n g b y a g e g r o u p s | r5:0-4 | r7:687123,100,7,687123,135,10323,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (Total population),E,r5:5-9 | r7:825498,100,7,825498,135,11648,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (Total population),F,r5:10-14 | r7:798674,100,7,798674,135,10882,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (Total population),G,r5:15-19 | r7:651263,100,7,651263,135,8494,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (Total population),H,r5:20-24 | r7:691988,100,7,691988,135,9561,not_adopted_pending_row_and_geography_audit
2020-2026-population-age-by-area.xls,01.01.2020 (Total population),I,r5:25-29 | r7:879753,100,7,879753,135,12494,not_adopted_pending_row_and_geography_audit
