source_file,source_url,sha256,sheet,numeric_column,header_path,numeric_cells,decision,reason
01-administrative-territorial-units-sex.xlsx,https://geostat.ge/media/81091/1.Population-of-Georgia-by-administrative-territorial-units-and-sex.xlsx,d6348f94cb4827c4c9433f3ee5820ec35dc016254316ae65eb07fe923edc0de1,1,B,Both Sexes,4829,not_adopted_this_pass,"Detailed settlement rows and 612 suppressed sex cells require official code, hierarchy and geography audit before adoption."
01-administrative-territorial-units-sex.xlsx,https://geostat.ge/media/81091/1.Population-of-Georgia-by-administrative-territorial-units-and-sex.xlsx,d6348f94cb4827c4c9433f3ee5820ec35dc016254316ae65eb07fe923edc0de1,1,C,Males,4523,not_adopted_this_pass,"Detailed settlement rows and 612 suppressed sex cells require official code, hierarchy and geography audit before adoption."
01-administrative-territorial-units-sex.xlsx,https://geostat.ge/media/81091/1.Population-of-Georgia-by-administrative-territorial-units-and-sex.xlsx,d6348f94cb4827c4c9433f3ee5820ec35dc016254316ae65eb07fe923edc0de1,1,D,Females,4523,not_adopted_this_pass,"Detailed settlement rows and 612 suppressed sex cells require official code, hierarchy and geography audit before adoption."
02-self-governed-units-urban-rural-sex.xlsx,https://geostat.ge/media/80611/2.-Population-of-Georgia-by-self-governed-units%2C-urban-rural-settlements-and-sex.xlsx,b3629935b5d8107c924ae8f5472a1537f6689227373a9e2936dcc46b20753474,1,B,Total / Both Sexes,85,adopted_direct_with_source_missing,Direct 14 Nov 2024 census population counts adopted for 85 printed reporting rows; source dashes remain missing.
02-self-governed-units-urban-rural-sex.xlsx,https://geostat.ge/media/80611/2.-Population-of-Georgia-by-self-governed-units%2C-urban-rural-settlements-and-sex.xlsx,b3629935b5d8107c924ae8f5472a1537f6689227373a9e2936dcc46b20753474,1,C,Males,85,adopted_direct_with_source_missing,Direct 14 Nov 2024 census population counts adopted for 85 printed reporting rows; source dashes remain missing.
02-self-governed-units-urban-rural-sex.xlsx,https://geostat.ge/media/80611/2.-Population-of-Georgia-by-self-governed-units%2C-urban-rural-settlements-and-sex.xlsx,b3629935b5d8107c924ae8f5472a1537f6689227373a9e2936dcc46b20753474,1,D,Females,85,adopted_direct_with_source_missing,Direct 14 Nov 2024 census population counts adopted for 85 printed reporting rows; source dashes remain missing.
02-self-governed-units-urban-rural-sex.xlsx,https://geostat.ge/media/80611/2.-Population-of-Georgia-by-self-governed-units%2C-urban-rural-settlements-and-sex.xlsx,b3629935b5d8107c924ae8f5472a1537f6689227373a9e2936dcc46b20753474,1,E,Urban / Both Sexes,84,adopted_direct_with_source_missing,Direct 14 Nov 2024 census population counts adopted for 85 printed reporting rows; source dashes remain missing.
02-self-governed-units-urban-rural-sex.xlsx,https://geostat.ge/media/80611/2.-Population-of-Georgia-by-self-governed-units%2C-urban-rural-settlements-and-sex.xlsx,b3629935b5d8107c924ae8f5472a1537f6689227373a9e2936dcc46b20753474,1,F,Males,84,adopted_direct_with_source_missing,Direct 14 Nov 2024 census population counts adopted for 85 printed reporting rows; source dashes remain missing.
02-self-governed-units-urban-rural-sex.xlsx,https://geostat.ge/media/80611/2.-Population-of-Georgia-by-self-governed-units%2C-urban-rural-settlements-and-sex.xlsx,b3629935b5d8107c924ae8f5472a1537f6689227373a9e2936dcc46b20753474,1,G,Females,84,adopted_direct_with_source_missing,Direct 14 Nov 2024 census population counts adopted for 85 printed reporting rows; source dashes remain missing.
02-self-governed-units-urban-rural-sex.xlsx,https://geostat.ge/media/80611/2.-Population-of-Georgia-by-self-governed-units%2C-urban-rural-settlements-and-sex.xlsx,b3629935b5d8107c924ae8f5472a1537f6689227373a9e2936dcc46b20753474,1,H,Rural / Both Sexes,77,adopted_direct_with_source_missing,Direct 14 Nov 2024 census population counts adopted for 85 printed reporting rows; source dashes remain missing.
02-self-governed-units-urban-rural-sex.xlsx,https://geostat.ge/media/80611/2.-Population-of-Georgia-by-self-governed-units%2C-urban-rural-settlements-and-sex.xlsx,b3629935b5d8107c924ae8f5472a1537f6689227373a9e2936dcc46b20753474,1,I,Males,77,adopted_direct_with_source_missing,Direct 14 Nov 2024 census population counts adopted for 85 printed reporting rows; source dashes remain missing.
02-self-governed-units-urban-rural-sex.xlsx,https://geostat.ge/media/80611/2.-Population-of-Georgia-by-self-governed-units%2C-urban-rural-settlements-and-sex.xlsx,b3629935b5d8107c924ae8f5472a1537f6689227373a9e2936dcc46b20753474,1,J,Females,77,adopted_direct_with_source_missing,Direct 14 Nov 2024 census population counts adopted for 85 printed reporting rows; source dashes remain missing.
03-birthplace-age-sex.xlsx,https://geostat.ge/media/80612/3.-Population-of-Georgia-by-place-of-birth%2C-5-year-age-groups-and-sex.xlsx,a91e975fd60ee5d36d3edf26ce7f1a7e86968ede2d4250ad74da8e385659c5d8,1,B,Total / Both Sexes,51,not_adopted_this_pass,Birthplace-by-age matrix is a different dimension; current-residence local counts and age interpretation not adopted.
