ISO,国,調査年,詳細利用候補年,公表状態,計画主体の地理単位,計画,確認した公表粒度,補助的小地域,形式,重要な制限,所管・関係機関,統計出典
ARG,アルゼンチン,2022,2022,2022確報・REDATAM公開,municipio／comuna等の地方政府（州法別）,州法・地方条例に基づく地域／都市計画,departamento／partido／comuna（表別）,fracción／radio censal。地方政府界との対応を別確認,REDATAM・PDF・表ダウンロード,departamentoと自治体は全国で同一ではない。機微項目の粒度制限あり。,州・地方政府の計画部局。全国一律の自治体計画所管は設定しない,https://redatam.indec.gob.ar/
BOL,ボリビア,2024,2024,2024 municipio/TIOC別表公開,municipio・departamento／TIOC,PTDI／先住民自治はPGTC等,municipio／TIOC,小地域のテーマ別数値公開は追加確認,ZIP集計表・REDATAM・地理ポータル,TIOCと通常のmunicipioの制度・地域対応を分ける。NBIは所得貧困と別。,Ministerio de Planificación del Desarrollo y Medio Ambiente（MPDyMA）,https://cpv2024.ine.gob.bo/index.php/tabulados-sobre-la-tematica-pobreza/
BRA,ブラジル,2022,2022,2022全数・標本結果を別公開,município（計画別に適用要件）,Plano Diretor／財政計画は別制度,município。標本と全数の公開粒度を区別,全数の一部はsetor censitário・bairro等,SIDRA・CSV・XLS・地理データ,ネットは標本項目。全数のセクター細分性をネット等の標本値に転用しない。,Ministério das Cidades（都市計画）、Ministério do Planejamento e Orçamento（国家予算計画）,https://www.ibge.gov.br/estatisticas/sociais/trabalho/22827-censo-demografico-2022.html?edicao=41852&t=resultados
CHL,チリ,2024,2024,2024結果・小地域データ公開,comuna（municipalidad）,PLADECO,comuna,manzana／entidad。項目別の秘匿条件確認,結果ビューア・REDATAM・microdata・地理データ,固定・モバイル・衛星ネットの複数回答を単純合計しない。,SUBDERE／各municipalidad（PLADECO）。都市規制は別の所管・計画,https://censo2024.ine.gob.cl/resultados/
COL,コロンビア,2018,2018,CNPV2018・地域集計と変数辞書公開,municipio／distrito・departamento,Plan de Desarrollo Territorial（PDT）／POTは別,municipio,manzana・農村sección等は選定変数,DANE地域ビューア・地理サービス・ANDA・REDATAM,ネットは住宅の固定／モバイル接続。就業状態から産業別生産を推測しない。,Departamento Nacional de Planeación（DNP）／地方計画部局,https://www.dane.gov.co/index.php/estadisticas-por-tema/demografia-y-poblacion/censo-nacional-de-poblacion-y-vivenda-2018/herramientas
CRI,コスタリカ,2022,2022,不完全収集を補正した2022公式推計,cantón（municipalidad）,Plan de Desarrollo Municipal／PAO等,provincia／cantón／distritoの推計指標,distrito。ただし指標別の品質注記を確認,推計報告PDF・指標ビューア・地理ビューア,44社会住宅指標は補正推計。実査の全数値として扱わず、地区別の品質を確認。,MIDEPLAN（国家計画）／自治体。地方支援機関・都市規制は業務別,https://admin.inec.cr/sites/default/files/2024-11/meSocialMetodologiaEstimacionesSocialesVivienda2022.pdf
CUB,キューバ,2012,2012,確認できた詳細調査は2012。UNSDは2026を予定表記,municipio（provinciaとの接続）,Estrategia de Desarrollo Municipal,municipioの公表データ取得は未確認,調査票の地域識別≠公開データの最小粒度,調査票PDF（CEPAL保管）・追加資料探索,2012調査票の設問を確認。現行ONEIの地方別データ取得・2026結果は未確認。,Ministerio de Economía y Planificación（制度上の関係機関）／地方政府。現行組織図の追認は残件,https://celade.cepal.org/censosinfo/Boletas/CU_BDef_2012.pdf
ECU,エクアドル,2022,2022,2022結果表・テーマ別データ公開,provincia・cantón・parroquia ruralのGAD,PDOT,cantón／parroquia（項目別）,セクター等の数値公表は追加確認,XLS・CSV・地域診断ページ,農村parroquiaは自治政府。都市parroquiaを同じ法定計画主体と扱わない。,Presidencia・Secretaría General de la Administración Pública y Gabinete（旧SNPを2025吸収。2026資料確認）,https://www.censoecuador.gob.ec/resultados-censo/
SLV,エルサルバドル,2024,2024,2024結果報告・地理ポータル公開,44 municipios（262 distritosは下位区分）,自治体開発計画／土地利用計画を類型別確認,municipio・distrito（項目別）。住宅表はdepartamento例,distritoを自治体内部診断に利用,報告PDF・地理ポータル・表,2023再編法による2024からの44自治体と旧262自治体を混同しない。,Ministerio de Desarrollo Local（MINDEL）／自治体。国土計画・予算は別所管,https://censo2024.bcr.gob.sv/wp-content/uploads/tablas-geoportal/2025/Informe%20_VII_Censo_de_Poblacion_y_VI_de_Vivienda_marzo_2025.pdf
GTM,グアテマラ,2018,2018,2018地域集計・地域内小地区資料公開,municipio,PDM-OT,municipio,lugar pobladoの選定指標,Excel・CSV・結果エクスプローラ,個人ネット利用7歳以上と世帯のネット設備を分ける。,SEGEPLAN／地方政府の計画部局,https://censo2018.ine.gob.gt/explorador
HTI,ハイチ,2003,2003,RGPH2003が公式サイトで確認できる詳細結果,commune,Plan de Développement Communal（PDC）,communeは人口・就業の一部。住宅設備は全国表を確認,section communale／SDEとの対応・公開範囲は未確認,IHSI HTML表目録・PDF,古い基準年。近年の人口推計・人道データを2003調査値へ混ぜない。,Ministère de la Planification et de la Coopération Externe（MPCE）／MICT・自治体,https://ihsi.gouv.ht/recensement/autres_resultat_rgph_2003
HND,ホンジュラス,2013,2013,2013詳細結果。2026は準備・実施関連情報で結果未確認,municipio,PDM-OT,municipio（298自治体別報告の目録）,aldea／caseríoは票で識別。公開数値の粒度は別確認,自治体別PDF・調査票PDF,2026という事業名や準備記事を公表済み国勢調査結果と扱わない。,SGJD（自治体開発支援）／SEFIN-DGP（2026暫定計画調整）。旧SPEは廃止,https://ine.gob.hn/2015/06/15/tomo-5-genero-2013/
MEX,メキシコ,2020,2020,2020全数基本票・標本拡大票。2025中間調査は別,municipio／CDMX alcaldía（州・特別制度別）,州法に基づくPDM／都市開発計画等,基本票・標本ともmunicipio、ただし提供項目差,基本票の選定指標はlocalidad／AGEB／manzana,INEGI CSV・DBF・Excel・microdata・地理データ,基本38問と拡大103問を区別。拡大票は小街区までの推計を保証しない。,SHCP（国家計画）／SEDATU（土地・都市）／州の計画機関・自治体,https://inegi.org.mx/rnm/index.php/catalog/632
NIC,ニカラグア,2024,2005,2024実施情報あり。詳細結果は未確認、2005公開表を採用候補,municipio,Plan de Desarrollo Municipal,2005 municipio別巻,barrios／comarcasの選定NBI等。混合出典に注意,2005 PDF・圧縮ファイル。2024取得経路は未確認,調査年2024と実際に使える詳細2005を分ける。古い値を最新と表示しない。,大統領府・MHCP（計画予算投資）／自治体。地方支援の現行分掌は追加確認,https://www.inide.gob.ni/docu/censos2005/censo2005.htm
