ISO,国,法令・規範名,制定・発出年,概要・改正と適用上の留意,計画単位,計画,所管・関係機関,法令出典,機関出典
ARG,アルゼンチン,Constitución Nacional（art.123）,1994,1994改正で自治体自治を規定。自治体計画の義務・種類は各州法・条例を追加確認する。,municipio／comuna等の地方政府（州法別）,州法・地方条例に基づく地域／都市計画,州・地方政府の計画部局。全国一律の自治体計画所管は設定しない,https://www.argentina.gob.ar/normativa/nacional/804/texto,https://www.argentina.gob.ar/normativa/nacional/804/texto
BOL,ボリビア,Ley 777 del SPIE,2016,統合計画体系。PTDIの地方対象とTIOCの計画類型を区別する（art.17等）。,municipio・departamento／TIOC,PTDI／先住民自治はPGTC等,Ministerio de Planificación del Desarrollo y Medio Ambiente（MPDyMA）,https://sea.gob.bo/digesto/CompendioII/A/2_L_777.pdf,https://www.gob.bo/entidades/ministerio-de-planificacion-del-desarrollo-y-medio-ambiente
BRA,ブラジル,Lei 10.257 Estatuto da Cidade,2001,art.40–41。Plano Diretorは自治体域全体を対象とし、人口2万人超その他の条件に該当する都市で義務。全自治体一律ではない。,município（計画別に適用要件）,Plano Diretor／財政計画は別制度,Ministério das Cidades（都市計画）、Ministério do Planejamento e Orçamento（国家予算計画）,https://www.planalto.gov.br/ccivil_03/leis/leis_2001/l10257.htm,https://www.gov.br/cidades/pt-br
BRA,ブラジル,Constituição Federal（計画・都市政策）,1988,国・州・自治体の関係、PPA等の財政計画、自治体の都市政策の憲法上の枠組み。,município（計画別に適用要件）,Plano Diretor／財政計画は別制度,Ministério das Cidades（都市計画）、Ministério do Planejamento e Orçamento（国家予算計画）,https://www4.planalto.gov.br/legislacao/legis-federal/constituicao,https://www.gov.br/cidades/pt-br
CHL,チリ,Ley 18.695 Orgánica Constitucional de Municipalidades,1988,PLADECOを自治体の基本的計画手段とする。現行参照はDFL 1（2006）統合条文art.6–7等。,comuna（municipalidad）,PLADECO,SUBDERE／各municipalidad（PLADECO）。都市規制は別の所管・計画,https://www.bcn.cl/leychile/navegar?idNorma=251693,https://www.subdere.gob.cl/organigrama-subdere/organigrama.html
COL,コロンビア,Ley 152 Orgánica del Plan de Desarrollo,1994,art.32–40等が地方計画の策定・承認・評価を規定。開発計画と土地利用計画を別管理。,municipio／distrito・departamento,Plan de Desarrollo Territorial（PDT）／POTは別,Departamento Nacional de Planeación（DNP）／地方計画部局,https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=327,https://portalterritorial.dnp.gov.co/
CRI,コスタリカ,Ley 7794 Código Municipal,1998,自治体議会の開発計画承認等。art.13の現行号記は改正で変わるため統合条文で確認。,cantón（municipalidad）,Plan de Desarrollo Municipal／PAO等,MIDEPLAN（国家計画）／自治体。地方支援機関・都市規制は業務別,https://www.pgrweb.go.cr/DOCS/NORMAS/1/VIGENTE/L/1990-1999/1995-1999/1998/9D05/17C506.HTML,https://www.mideplan.go.cr/documentos_leyes?field_ano_value=&order=title&page=0&sort=asc&title=
CRI,コスタリカ,Ley 5525 de Planificación Nacional,1974,国家計画体系とMIDEPLAN。自治体の計画権限・都市規制とは区別する。,cantón（municipalidad）,Plan de Desarrollo Municipal／PAO等,MIDEPLAN（国家計画）／自治体。地方支援機関・都市規制は業務別,https://www.mideplan.go.cr/index.php/marco-legal-inversion-publica,https://www.mideplan.go.cr/documentos_leyes?field_ano_value=&order=title&page=0&sort=asc&title=
CUB,キューバ,Decreto 33 Para la Gestión Estratégica del Desarrollo Territorial,2021,art.6–8。自治体行政評議会が戦略を作成・実施・評価・更新し、自治体人民権力議会へ承認のため提出。省の計画とも接続。,municipio（provinciaとの接続）,Estrategia de Desarrollo Municipal,Ministerio de Economía y Planificación（制度上の関係機関）／地方政府。現行組織図の追認は残件,https://www.gacetaoficial.gob.cu/sites/default/files/goc-2021-o40.pdf,https://www.gacetaoficial.gob.cu/es/gaceta-oficial-no-40-ordinaria-de-2021
ECU,エクアドル,Código Orgánico de Planificación y Finanzas Públicas（COPFP）,2010,art.41以下のPDOT。GADの開発・土地利用計画と財政・国家計画の関係を規定。,provincia・cantón・parroquia ruralのGAD,PDOT,Presidencia・Secretaría General de la Administración Pública y Gabinete（旧SNPを2025吸収。2026資料確認）,https://www.planificacion.gob.ec/wp-content/uploads/2021/10/Codigo-Org%C3%A1nico-de-Planificaci%C3%B3n-y-Finanzas-P%C3%BAblicas.pdf,https://planificacion.presidencia.gob.ec/wp-content/uploads/2026/03/3-Acta-de-reunion-RDC-2025-SNP.pdf
ECU,エクアドル,PDOT作成・更新ガイド（Acuerdo SNP-SNP-2023-0049-A）,2023,法令ではなく運用手引き。州・郡・農村教区等の対象を確認。案件時に後続版を確認する。,provincia・cantón・parroquia ruralのGAD,PDOT,Presidencia・Secretaría General de la Administración Pública y Gabinete（旧SNPを2025吸収。2026資料確認）,https://www.planificacion.gob.ec/wp-content/uploads/2023/06/PDOT-ACUERDO-Nro.-SNP-SNP-2023-0049-A.pdf,https://planificacion.presidencia.gob.ec/wp-content/uploads/2026/03/3-Acta-de-reunion-RDC-2025-SNP.pdf
ECU,エクアドル,COOTAD,2010,地方政府の種類・権限とPDOTを規定。参照PDFは2018改正収録版のため後続改正確認が必要。,provincia・cantón・parroquia ruralのGAD,PDOT,Presidencia・Secretaría General de la Administración Pública y Gabinete（旧SNPを2025吸収。2026資料確認）,https://www.planificacion.gob.ec/wp-content/uploads/downloads/2018/09/CODIGO-ORGANICO-DE-ORGANIZACION-TERRITORIAL-COOTAD.pdf,https://planificacion.presidencia.gob.ec/wp-content/uploads/2026/03/3-Acta-de-reunion-RDC-2025-SNP.pdf
ECU,エクアドル,Decreto Ejecutivo 95（機関統合）,2025,旧SNPを大統領府へ吸収。2026年3月の政府文書で承継を確認。,provincia・cantón・parroquia ruralのGAD,PDOT,Presidencia・Secretaría General de la Administración Pública y Gabinete（旧SNPを2025吸収。2026資料確認）,https://planificacion.presidencia.gob.ec/wp-content/uploads/2026/03/3-Acta-de-reunion-RDC-2025-SNP.pdf,https://planificacion.presidencia.gob.ec/wp-content/uploads/2026/03/3-Acta-de-reunion-RDC-2025-SNP.pdf
SLV,エルサルバドル,Código Municipal（Decreto 274）,1986,自治体の開発計画等の権限を規定。新44自治体の対象区域・適用計画は改編法と併読。,44 municipios（262 distritosは下位区分）,自治体開発計画／土地利用計画を類型別確認,Ministerio de Desarrollo Local（MINDEL）／自治体。国土計画・予算は別所管,https://www.asamblea.gob.sv/leyes-y-decretos/decretos-por-anios/1986/0,https://www.transparencia.gob.sv/perfil/371
SLV,エルサルバドル,Ley Especial para la Reestructuración Municipal,2023,44自治体・262地区への再編。統計の地区と計画責任を負う自治体の対応表が必要。,44 municipios（262 distritosは下位区分）,自治体開発計画／土地利用計画を類型別確認,Ministerio de Desarrollo Local（MINDEL）／自治体。国土計画・予算は別所管,https://www.asamblea.gob.sv/node/12819,https://www.transparencia.gob.sv/perfil/371
GTM,グアテマラ,Código Municipal（Decreto 12-2002）,2002,art.142（2010改正）は自治体の土地利用・総合開発計画の策定・実施を規定。PDM-OT手引きへ接続。,municipio,PDM-OT,SEGEPLAN／地方政府の計画部局,https://portal.segeplan.gob.gt/segeplan/wp-content/uploads/2022/07/107_PDM_OT_San_Pedro_Ayampuc.pdf,https://portal.segeplan.gob.gt/segeplan/?page_id=6433
GTM,グアテマラ,Ley de los Consejos de Desarrollo Urbano y Rural（11-2002）,2002,国・地方・共同体をつなぐ参加型開発計画の評議会制度。2026改正の現行適用は追加照合。,municipio,PDM-OT,SEGEPLAN／地方政府の計画部局,https://www.congreso.gob.gt/detalle_pdf/decretos/231,https://portal.segeplan.gob.gt/segeplan/?page_id=6433
HTI,ハイチ,Décret du 1er février 2006 sur la collectivité municipale,2006,communeの組織・権限と地域開発の枠組み。現行施行状況・個別計画手続きを案件別に確認。,commune,Plan de Développement Communal（PDC）,Ministère de la Planification et de la Coopération Externe（MPCE）／MICT・自治体,https://www.mict.gouv.ht/wp-content/uploads/2016/04/Decret-Portant-Organisation-et-Fonctionnement-de-la-Collectivite-Municipale.pdf,https://mpce.gouv.ht/
HND,ホンジュラス,Normativa para la Formulación de PDM con enfoque de OT（Acuerdo 00132）,2013,自治体開発計画の作成方法を定める規範。Ley de Municipalidades等の現行統合条文は案件時に併読。,municipio,PDM-OT,SGJD（自治体開発支援）／SEFIN-DGP（2026暫定計画調整）。旧SPEは廃止,https://www.tsc.gob.hn/web/leyes/Normativa_formulacion_planes_desarrollo_municipal_2013.pdf,https://www.sefin.gob.hn/wp-content/uploads/2026/05/Presentacion-Lineamientos-para-la-Ejecucion-y-Evaluacion-Presupuestaria_2026.pdf
HND,ホンジュラス,PCM-004-2026（機関再編）,2026,SPE廃止を政府透明性ポータルが明記。計画・予算接続はSEFIN-DGPの暫定権限を確認。,municipio,PDM-OT,SGJD（自治体開発支援）／SEFIN-DGP（2026暫定計画調整）。旧SPEは廃止,https://portalunico.iaip.gob.hn/498/,https://www.sefin.gob.hn/wp-content/uploads/2026/05/Presentacion-Lineamientos-para-la-Ejecucion-y-Evaluacion-Presupuestaria_2026.pdf
