ISO,国,統計年,テーマ,確認項目,確認段階,確認した粒度,留意点,出典ID,URL
ARG,アルゼンチン,2022,人口・世帯,性・年齢、人口、世帯,公表目録確認,departamento／partido／comuna（表別）,,ARG_R,https://redatam.indec.gob.ar/redarg/CENSOS/CPV2022/Docs/Redatam_introduccion.pdf
ARG,アルゼンチン,2022,住宅,床・屋根、所有・賃貸、居住条件,公表目録確認,departamento／partido／comuna（表別）,,ARG_H,https://www.indec.gob.ar/ftp/cuadros/poblacion/censo2022_condiciones_habitacionales.pdf
ARG,アルゼンチン,2022,水,飲用・調理用水源、屋内配管,公表目録確認,departamento／partido／comuna（表別）,,ARG_H,https://www.indec.gob.ar/ftp/cuadros/poblacion/censo2022_condiciones_habitacionales.pdf
ARG,アルゼンチン,2022,衛生,水洗便所、下水道,公表目録確認,departamento／partido／comuna（表別）,,ARG_H,https://www.indec.gob.ar/ftp/cuadros/poblacion/censo2022_condiciones_habitacionales.pdf
ARG,アルゼンチン,2022,家庭エネルギー,調理燃料（ガス・電気等）。独立した電力普及率は未確認,公表目録確認,departamento／partido／comuna（表別）,,ARG_H,https://www.indec.gob.ar/ftp/cuadros/poblacion/censo2022_condiciones_habitacionales.pdf
ARG,アルゼンチン,2022,デジタル接続,住宅のネット、ネット対応携帯、PC・タブレット,公表目録確認,departamento／partido／comuna（表別）,,ARG_H,https://www.indec.gob.ar/ftp/cuadros/poblacion/censo2022_condiciones_habitacionales.pdf
ARG,アルゼンチン,2022,教育,就学、教育到達度,公表目録確認,departamento／partido／comuna（表別）,,ARG_R,https://redatam.indec.gob.ar/redarg/CENSOS/CPV2022/Docs/Redatam_introduccion.pdf
ARG,アルゼンチン,2022,就業・生計,経済活動（詳細変数は導入資料で探索対象を確認）,公表目録確認,departamento／partido／comuna（表別）,,ARG_R,https://redatam.indec.gob.ar/redarg/CENSOS/CPV2022/Docs/Redatam_introduccion.pdf
ARG,アルゼンチン,2022,包摂・健康の一部,医療保障、先住民・アフロ系、ジェンダー関連項目,公表目録確認,departamento／partido／comuna（表別）,,ARG_R,https://redatam.indec.gob.ar/redarg/CENSOS/CPV2022/Docs/Redatam_introduccion.pdf
ARG,アルゼンチン,2022,移住,出生地・移住,公表目録確認,departamento／partido／comuna（表別）,,ARG_R,https://redatam.indec.gob.ar/redarg/CENSOS/CPV2022/Docs/Redatam_introduccion.pdf
BOL,ボリビア,2024,人口・世帯,性・年齢、世帯構成、人口動態,公表目録確認,municipio／TIOC,,BOL_C,https://cpv2024.ine.gob.bo/index.php/tabulados-sobre-la-tematica-pobreza/
BOL,ボリビア,2024,住宅,材料、保有形態、室数,公表目録確認,municipio／TIOC,,BOL_C,https://cpv2024.ine.gob.bo/index.php/tabulados-sobre-la-tematica-pobreza/
BOL,ボリビア,2024,水,水源,公表目録確認,municipio／TIOC,,BOL_C,https://cpv2024.ine.gob.bo/index.php/tabulados-sobre-la-tematica-pobreza/
BOL,ボリビア,2024,衛生,便所、排水,公表目録確認,municipio／TIOC,,BOL_C,https://cpv2024.ine.gob.bo/index.php/tabulados-sobre-la-tematica-pobreza/
BOL,ボリビア,2024,家庭エネルギー,電源、調理燃料,公表目録確認,municipio／TIOC,,BOL_C,https://cpv2024.ine.gob.bo/index.php/tabulados-sobre-la-tematica-pobreza/
BOL,ボリビア,2024,デジタル接続,世帯ICT機器・接続関連項目（個別の接続定義要照合）,公表目録確認,municipio／TIOC,,BOL_C,https://cpv2024.ine.gob.bo/index.php/tabulados-sobre-la-tematica-pobreza/
BOL,ボリビア,2024,教育,識字、就学、学歴、平均教育年数,公表目録確認,municipio／TIOC,,BOL_C,https://cpv2024.ine.gob.bo/index.php/tabulados-sobre-la-tematica-pobreza/
BOL,ボリビア,2024,就業・生計,活動、職業、産業、就業地への移動,公表目録確認,municipio／TIOC,,BOL_C,https://cpv2024.ine.gob.bo/index.php/tabulados-sobre-la-tematica-pobreza/
BOL,ボリビア,2024,包摂・健康の一部,機能上の困難5歳以上、医療、言語、民族、NBI,公表目録確認,municipio／TIOC,,BOL_C,https://cpv2024.ine.gob.bo/index.php/tabulados-sobre-la-tematica-pobreza/
BOL,ボリビア,2024,移住,国内移住、国外移住,公表目録確認,municipio／TIOC,,BOL_C,https://cpv2024.ine.gob.bo/index.php/tabulados-sobre-la-tematica-pobreza/
BRA,ブラジル,2022,人口・世帯,性・年齢、人種、世帯,公表目録確認,município。標本と全数の公開粒度を区別,,BRA_C,https://www.ibge.gov.br/estatisticas/sociais/trabalho/22827-censo-demografico-2022.html?edicao=41852&t=resultados
BRA,ブラジル,2022,住宅,所有・賃貸、室数、過密（標本を含む）,公表目録確認,município（標本）。セクター提供は主張しない,,BRA_S,https://www.ibge.gov.br/estatisticas/sociais/populacao/22827-censo-demografico-2022.html?edicao=42157&t=resultados
BRA,ブラジル,2022,水,水源、配管,公表目録確認,município。標本と全数の公開粒度を区別,,BRA_H,https://sidra.ibge.gov.br/pesquisa/censo-demografico/demografico-2022/universo-caracteristicas-dos-domicilios
BRA,ブラジル,2022,衛生,便所、下水・排水,公表目録確認,município。標本と全数の公開粒度を区別,,BRA_H,https://sidra.ibge.gov.br/pesquisa/censo-demografico/demografico-2022/universo-caracteristicas-dos-domicilios
BRA,ブラジル,2022,家庭エネルギー,未確認：2022一般住宅の独立した電力・調理燃料表,未確認,当該項目の公表粒度未確認,,BRA_C,https://www.ibge.gov.br/estatisticas/sociais/trabalho/22827-censo-demografico-2022.html?edicao=41852&t=resultados
BRA,ブラジル,2022,デジタル接続,世帯のインターネット接続（標本）,公表目録確認,município（標本）。セクター提供は主張しない,,BRA_S,https://www.ibge.gov.br/estatisticas/sociais/populacao/22827-censo-demografico-2022.html?edicao=42157&t=resultados
BRA,ブラジル,2022,教育,識字（全数）。学歴等は標本別に確認,公表目録確認,município。標本と全数の公開粒度を区別,,BRA_C,https://www.ibge.gov.br/estatisticas/sociais/trabalho/22827-censo-demografico-2022.html?edicao=41852&t=resultados
BRA,ブラジル,2022,就業・生計,就業・所得（標本）,公表目録確認,município。標本と全数の公開粒度を区別,,BRA_E,https://www.ibge.gov.br/estatisticas/Sociais/populacao/22827-censo-demografico-2022.html?edicao=44663
BRA,ブラジル,2022,包摂・健康の一部,先住民・quilombola。障害関連は標本表の条件確認,公表目録確認,município。標本と全数の公開粒度を区別,,BRA_C,https://www.ibge.gov.br/estatisticas/sociais/trabalho/22827-censo-demografico-2022.html?edicao=41852&t=resultados
BRA,ブラジル,2022,移住,未確認：この台帳では移住の詳細表を未点検,未確認,当該項目の公表粒度未確認,,BRA_C,https://www.ibge.gov.br/estatisticas/sociais/trabalho/22827-censo-demografico-2022.html?edicao=41852&t=resultados
CHL,チリ,2024,人口・世帯,人口、性・年齢、世帯,公表目録確認,comuna,,CHL_C,https://censo2024.ine.gob.cl/resultados/
CHL,チリ,2024,住宅,所有・賃貸、過密,公表目録確認,comuna,,CHL_H,https://censo2024.ine.gob.cl/censo-2024-el-611-de-los-hogares-residen-en-una-vivienda-propia-y-el-262-en-una-vivienda-arrendada/
CHL,チリ,2024,水,水源・供給,公表目録確認,comuna,,CHL_H,https://censo2024.ine.gob.cl/censo-2024-el-611-de-los-hogares-residen-en-una-vivienda-propia-y-el-262-en-una-vivienda-arrendada/
CHL,チリ,2024,衛生,下水、浄化槽等,公表目録確認,comuna,,CHL_H,https://censo2024.ine.gob.cl/censo-2024-el-611-de-los-hogares-residen-en-una-vivienda-propia-y-el-262-en-una-vivienda-arrendada/
CHL,チリ,2024,家庭エネルギー,電源、調理・暖房燃料,公表目録確認,comuna,,CHL_H,https://censo2024.ine.gob.cl/censo-2024-el-611-de-los-hogares-residen-en-una-vivienda-propia-y-el-262-en-una-vivienda-arrendada/
CHL,チリ,2024,デジタル接続,世帯ネット（固定・モバイル・衛星）,公表目録確認,comuna,,CHL_H,https://censo2024.ine.gob.cl/censo-2024-el-611-de-los-hogares-residen-en-una-vivienda-propia-y-el-262-en-una-vivienda-arrendada/
